snapshot,timestamp_ms,elapsed_s,consent_requests_sent,consent_increment,requests_sent,responses_received,current_rtt_ms,avg_rtt_ms,available_outgoing_kbps,bytes_sent,bytes_received
0,1770565732383.217,0.0,2,0,3,3,38.0,38.33,300,763,930
1,1770565733380.805,1.0,3,1,4,4,38.0,38.0,300,763,982
2,1770565734370.561,1.99,4,1,5,5,38.0,38.0,300,763,1034
3,1770565735370.576,2.99,4,0,5,5,38.0,38.0,300,763,1086
4,1770565736375.906,3.99,4,0,5,5,38.0,38.0,300,763,1138
5,1770565737377.153,4.99,5,1,6,6,38.0,38.0,300,763,1190
6,1770565738374.397,5.99,5,0,6,6,38.0,38.0,301,2043,276506
7,1770565739371.031,6.99,5,0,6,6,38.0,38.0,332,3435,510060
8,1770565740376.008,7.99,6,1,7,7,37.0,37.86,332,4853,768607
9,1770565741373.526,8.99,6,0,7,7,37.0,37.86,332,9065,1027234
10,1770565742369.694,9.99,7,1,8,8,37.0,37.75,332,13439,1331415
11,1770565743380.726,11.0,7,0,8,8,37.0,37.75,332,14863,1588399
12,1770565744373.468,11.99,7,0,8,8,37.0,37.75,133,17850,1854343
13,1770565745383.988,13.0,8,1,9,9,37.0,37.67,133,19166,2132885
14,1770565746375.997,13.99,8,0,9,9,37.0,37.67,133,20342,2408747
15,1770565747374.517,14.99,8,0,9,9,37.0,37.67,133,21734,2695834
16,1770565748374.832,15.99,9,1,10,10,37.0,37.6,133,22858,2973261
17,1770565749370.976,16.99,9,0,10,10,37.0,37.6,133,24799,3256249
18,1770565749491.914,17.11,9,0,10,10,37.0,37.6,133,25796,3274279
19,1770565750500.981,18.12,10,1,11,11,37.0,37.55,133,30459,3547418
20,1770565751491.207,19.11,10,0,11,11,37.0,37.55,133,31659,3830449
21,1770565752492.36,20.11,10,0,11,11,37.0,37.55,133,40570,4098321
22,1770565753495.325,21.11,11,1,12,12,37.0,37.5,138,48789,4354691
23,1770565754502.65,22.12,11,0,12,12,37.0,37.5,140,50215,4638853
24,1770565755493.483,23.11,11,0,12,12,37.0,37.5,140,51721,4917634
25,1770565756491.7,24.11,12,1,13,13,38.0,37.46,140,54693,5221031
26,1770565757504.501,25.12,12,0,13,13,38.0,37.46,140,56235,5507609
27,1770565758496.92,26.11,12,0,13,13,38.0,37.46,140,57599,5911079
28,1770565759493.687,27.11,13,1,14,14,37.0,37.5,146,59367,6327667
29,1770565760493.715,28.11,13,0,14,14,37.0,37.5,146,60707,6657176
30,1770565761497.021,29.11,14,1,15,15,37.0,37.47,146,61995,6983700
31,1770565762494.998,30.11,14,0,15,15,37.0,37.47,146,65135,7304858
32,1770565763492.754,31.11,14,0,15,15,37.0,37.47,146,70957,7625289
33,1770565764506.621,32.12,15,1,16,16,36.0,37.38,141,78478,7967692
34,1770565765495.019,33.11,15,0,16,16,36.0,37.38,141,86615,8294232
35,1770565766495.867,34.11,15,0,16,16,36.0,37.38,143,95708,8621125
36,1770565768380.473,36.0,16,1,17,17,37.0,37.35,143,110616,9239616
37,1770565769380.244,37.0,16,0,17,17,37.0,37.35,142,112416,9580679
38,1770565770369.521,37.99,17,1,18,18,37.0,37.33,142,113618,9888135
39,1770565771375.418,38.99,17,0,18,18,37.0,37.33,142,114839,10212694
40,1770565772382.769,40.0,18,1,19,19,37.0,37.32,144,126325,10549528
41,1770565773371.458,40.99,18,0,19,19,37.0,37.32,144,132685,10891609
42,1770565774381.369,42.0,18,0,19,19,37.0,37.32,140,140312,11237390
43,1770565775375.534,42.99,19,1,20,20,37.0,37.3,140,146597,11547087
