snapshot,timestamp_ms,elapsed_s,consent_requests_sent,consent_increment,requests_sent,responses_received,current_rtt_ms,avg_rtt_ms,available_outgoing_kbps,bytes_sent,bytes_received
0,1770563378382.699,0.0,11,0,12,12,31.0,31.0,123,107162,481448
1,1770563405119.439,26.74,21,10,22,22,31.0,30.91,119,244560,1053827
2,1770563405815.777,27.43,21,0,22,22,31.0,30.91,124,247298,1069250
3,1770563406818.463,28.44,21,0,22,22,31.0,30.91,124,250294,1091218
4,1770563407825.254,29.44,22,1,23,23,31.0,30.91,124,253194,1113227
5,1770563408819.765,30.44,22,0,23,23,31.0,30.91,124,256174,1135027
6,1770563409823.271,31.44,22,0,23,23,31.0,30.91,124,259030,1157079
7,1770563410819.678,32.44,23,1,24,24,31.0,30.88,120,267213,1178933
8,1770563411817.827,33.44,23,0,24,24,31.0,30.88,128,275243,1200804
9,1770563412818.018,34.44,24,1,25,25,31.0,30.88,128,281298,1222669
10,1770563413822.4,35.44,24,0,25,25,31.0,30.88,128,286231,1244759
11,1770563414818.335,36.44,24,0,25,25,31.0,30.88,128,291917,1267048
12,1770563415830.718,37.45,25,1,26,26,31.0,30.88,128,297388,1289512
13,1770563416817.167,38.43,25,0,26,26,31.0,30.88,119,302535,1311410
14,1770563417815.698,39.43,25,0,26,26,31.0,30.88,119,307694,1333614
15,1770563418819.267,40.44,26,1,27,27,31.0,30.85,119,312861,1354816
16,1770563419830.68,41.45,26,0,27,27,31.0,30.85,119,317773,1375156
17,1770563420828.419,42.45,26,0,27,27,31.0,30.85,119,322849,1396686
18,1770563421816.231,43.43,27,1,28,28,31.0,30.86,119,330032,1417779
19,1770563422816.097,44.43,27,0,28,28,31.0,30.86,122,337642,1439598
20,1770563423816.179,45.43,28,1,29,29,31.0,30.86,122,345037,1461048
21,1770563424817.697,46.43,28,0,29,29,31.0,30.86,122,351796,1482706
22,1770563425822.464,47.44,28,0,29,29,31.0,30.86,122,356756,1504493
23,1770563426824.57,48.44,29,1,30,30,31.0,30.83,121,361868,1525310
24,1770563427818.301,49.44,29,0,30,30,31.0,30.83,121,366677,1545199
25,1770563428816.47,50.43,29,0,30,30,31.0,30.83,121,371708,1566802
26,1770563429815.696,51.43,30,1,31,31,31.0,30.84,121,376708,1588427
27,1770563430824.205,52.44,30,0,31,31,31.0,30.84,121,381884,1610241
28,1770563431819.695,53.44,31,1,32,31,31.0,30.84,121,387110,1631949
29,1770563432815.756,54.43,31,0,32,32,31.0,30.84,123,391902,1652594
30,1770563433826.67,55.44,31,0,32,32,31.0,30.84,123,396986,1672958
31,1770563434826.491,56.44,32,1,33,33,31.0,30.85,123,402074,1692735
32,1770563435819.996,57.44,32,0,33,33,31.0,30.85,123,407018,1714026
33,1770563436829.386,58.45,32,0,33,33,31.0,30.85,123,414725,1735789
34,1770563437819.923,59.44,33,1,34,34,31.0,30.85,122,419905,1757257
35,1770563438830.421,60.45,33,0,34,34,31.0,30.85,122,424973,1779306
36,1770563439816.868,61.43,33,0,34,34,31.0,30.85,122,429720,1800176
37,1770563440818.733,62.44,34,1,35,35,31.0,30.86,122,434641,1820156
38,1770563441827.915,63.45,34,0,35,35,31.0,30.86,117,440013,1842025
39,1770563442815.739,64.43,35,1,36,36,31.0,30.83,121,446143,1863372
40,1770563443827.972,65.45,35,0,36,36,31.0,30.83,121,453915,1883693
41,1770563444825.969,66.44,35,0,36,36,31.0,30.83,121,460946,1904025
42,1770563445818.281,67.44,36,1,37,37,31.0,30.84,121,468787,1925493
43,1770563446815.663,68.43,36,0,37,37,31.0,30.84,121,476243,1947055
44,1770563447819.82,69.44,36,0,37,37,31.0,30.84,125,484284,1968695
45,1770563448815.8,70.43,37,1,38,38,31.0,30.84,125,489314,1990221
46,1770563449824.759,71.44,37,0,38,38,31.0,30.84,125,494394,2011099
47,1770563450820.336,72.44,38,1,39,39,32.0,30.87,125,499735,2030304
48,1770563451821.388,73.44,38,0,39,39,32.0,30.87,125,504791,2051551
49,1770563452830.818,74.45,38,0,39,39,32.0,30.87,121,509613,2071529
50,1770563453825.913,75.44,39,1,40,40,31.0,30.88,121,514419,2090880
51,1770563454821.433,76.44,39,0,40,40,31.0,30.88,121,519181,2110565
52,1770563455819.684,77.44,39,0,40,40,31.0,30.88,121,524063,2130079
53,1770563456816.83,78.43,40,1,41,41,31.0,30.88,121,528941,2150277
54,1770563457816.741,79.43,40,0,41,41,31.0,30.88,121,533743,2171878
55,1770563458815.958,80.43,40,0,41,41,31.0,30.88,121,539159,2193523
56,1770563459821.73,81.44,41,1,42,42,31.0,30.88,121,544276,2214504
57,1770563460826.699,82.44,41,0,42,42,31.0,30.88,121,549745,2234882
58,1770563461823.386,83.44,42,1,43,43,31.0,30.86,120,556930,2256356
59,1770563462815.72,84.43,42,0,43,43,31.0,30.86,120,564544,2276642
60,1770563463824.847,85.44,42,0,43,43,31.0,30.86,120,572503,2298278
61,1770563464818.059,86.44,43,1,44,44,31.0,30.86,120,579678,2319836
62,1770563465816,87.43,43,0,44,44,31.0,30.86,120,585600,2341097
63,1770563466822.235,88.44,43,0,44,44,31.0,30.86,120,591575,2360835
64,1770563467818.368,89.44,44,1,45,45,31.0,30.87,117,597252,2381940
65,1770563468830.359,90.45,44,0,45,45,31.0,30.87,117,603431,2403816
66,1770563469823.056,91.44,44,0,45,45,31.0,30.87,117,611079,2425136
67,1770563470822.526,92.44,45,1,46,46,31.0,30.87,117,618054,2446485
68,1770563471829.226,93.45,45,0,46,46,31.0,30.87,117,625088,2467922
69,1770563472821.565,94.44,46,1,47,47,31.0,30.87,112,632962,2487477
70,1770563473818.761,95.44,46,0,47,47,31.0,30.87,112,640750,2507831
71,1770563474829.553,96.45,46,0,47,47,31.0,30.87,112,647737,2529720
72,1770563475824.475,97.44,47,1,48,48,31.0,30.88,112,653651,2550559
73,1770563476824.149,98.44,47,0,48,48,31.0,30.88,112,658900,2571916
74,1770563477829.589,99.45,47,0,48,48,31.0,30.88,110,663819,2591517
75,1770563478822.746,100.44,48,1,49,49,31.0,30.86,110,668569,2612622
76,1770563479828.533,101.45,48,0,49,49,31.0,30.86,110,673375,2634333
77,1770563480816.858,102.43,49,1,50,49,31.0,30.86,110,678327,2655625
