snapshot,timestamp_ms,elapsed_s,consent_requests_sent,consent_increment,requests_sent,responses_received,current_rtt_ms,avg_rtt_ms,available_outgoing_kbps,bytes_sent,bytes_received
1,1770566283272.941,0.0,11,0,14,12,31.0,31.75,109,68276,1872271
2,1770566283420.654,0.15,11,0,14,12,31.0,31.75,109,69278,1894668
3,1770566284413.239,1.14,11,0,14,12,31.0,31.75,109,74532,2044470
4,1770566285419.197,2.15,12,1,15,13,31.0,31.69,102,75558,2191004
5,1770566286418.304,3.15,12,0,15,13,31.0,31.69,102,76318,2337270
6,1770566287419.287,4.15,12,0,15,13,31.0,31.69,102,77195,2485867
7,1770566288419.777,5.15,13,1,16,14,31.0,31.64,102,77996,2630956
8,1770566289414.975,6.14,13,0,16,14,31.0,31.64,102,81043,2777114
9,1770566290415.518,7.14,13,0,16,14,31.0,31.64,102,82280,2875883
10,1770566291424.101,8.15,14,1,17,15,26.0,31.27,102,83027,3007251
11,1770566292425.513,9.15,14,0,17,15,26.0,31.27,102,86716,3154389
12,1770566293413.361,10.14,15,1,18,16,31.0,31.25,102,87859,3294915
13,1770566294413.194,11.14,15,0,18,16,31.0,31.25,102,91348,3450031
14,1770566295415.237,12.14,15,0,18,16,31.0,31.25,102,92185,3596368
15,1770566296425.751,13.15,16,1,19,17,42.0,31.88,102,92959,3743188
16,1770566297417.741,14.14,16,0,19,17,42.0,31.88,102,93826,3888361
17,1770566298427.662,15.15,16,0,19,17,42.0,31.88,102,95908,4036293
18,1770566299417.631,16.14,17,1,20,18,42.0,32.39,102,97361,4174771
19,1770566300425.331,17.15,17,0,20,18,42.0,32.39,102,98312,4320112
20,1770566301418.073,18.15,18,1,21,18,42.0,32.39,102,99055,4471712
21,1770566302418.145,19.15,18,0,21,19,36.0,32.58,102,99940,4620889
22,1770566303427.813,20.15,18,0,21,19,36.0,32.58,102,100812,4770352
23,1770566304413.113,21.14,19,1,22,20,24.0,32.15,102,101651,4922318
24,1770566305413.405,22.14,19,0,22,20,24.0,32.15,84,102792,5070813
25,1770566306414.02,23.14,19,0,22,20,24.0,32.15,84,105241,5218791
26,1770566307414.892,24.14,20,1,23,21,31.0,32.1,91,111549,5365440
27,1770566308413.8,25.14,20,0,23,21,31.0,32.1,92,116490,5512275
28,1770566309421.984,26.15,20,0,23,21,31.0,32.1,92,117349,5653041
29,1770566310428.382,27.16,21,1,24,22,33.0,32.14,96,118505,5808127
30,1770566311421.953,28.15,21,0,24,22,33.0,32.14,96,119314,5958685
31,1770566312426.927,29.15,22,1,25,23,31.0,32.09,96,120134,6109166
32,1770566313424.174,30.15,22,0,25,23,31.0,32.09,96,124617,6252439
33,1770566314420.949,31.15,22,0,25,23,31.0,32.09,96,130574,6402611
34,1770566315412.603,32.14,23,1,26,24,35.0,32.21,96,131453,6548325
35,1770566316412.647,33.14,23,0,26,24,35.0,32.21,96,132221,6697002
36,1770566317419.328,34.15,23,0,26,24,35.0,32.21,96,134250,6844988
37,1770566318419.819,35.15,24,1,27,25,38.0,32.44,96,135119,6995257
38,1770566319412.756,36.14,24,0,27,25,38.0,32.44,96,140357,7143155
39,1770566320423.01,37.15,25,1,28,25,38.0,32.44,101,143985,7291756
40,1770566321417.354,38.14,25,0,28,26,38.0,32.65,101,144818,7437818
41,1770566322422.612,39.15,25,0,28,26,38.0,32.65,101,145705,7584810
42,1770566323418.922,40.15,26,1,29,27,31.0,32.59,101,146520,7735210
43,1770566324422.885,41.15,26,0,29,27,31.0,32.59,101,147374,7887875
44,1770566325412.805,42.14,26,0,29,27,31.0,32.59,98,152242,8039897
45,1770566326414.656,43.14,27,1,30,28,33.0,32.61,98,153139,8179496
46,1770566327413.1,44.14,27,0,30,28,33.0,32.61,98,156658,8326183
47,1770566328426.552,45.15,27,0,30,28,33.0,32.61,98,163289,8482049
48,1770566329417.958,46.15,28,1,31,29,29.0,32.48,98,169532,8630065
49,1770566330413.258,47.14,28,0,31,29,29.0,32.48,94,175630,8772362
50,1770566331415.047,48.14,29,1,32,30,41.0,32.77,94,181799,8920718
51,1770566332416.819,49.14,29,0,32,30,41.0,32.77,94,183116,9074576
52,1770566333425.973,50.15,29,0,32,30,41.0,32.77,94,183924,9225343
53,1770566334422.394,51.15,30,1,33,31,35.0,32.84,94,184683,9377940
54,1770566335424.759,52.15,30,0,33,31,35.0,32.84,94,185802,9529420
55,1770566336425.203,53.15,30,0,33,31,35.0,32.84,94,186607,9681793
56,1770566337415.28,54.14,31,1,34,32,31.0,32.78,94,187512,9830274
57,1770566338419.254,55.15,31,0,34,32,31.0,32.78,94,188322,9978874
58,1770566339420.26,56.15,31,0,34,32,31.0,32.78,94,191387,10129738
59,1770566340425.099,57.15,32,1,35,33,27.0,32.64,101,198156,10279399
60,1770566341424.857,58.15,32,0,35,33,27.0,32.64,101,200819,10427125
61,1770566342427.276,59.15,33,1,36,34,31.0,32.59,101,201575,10575485
62,1770566343413.831,60.14,33,0,36,34,31.0,32.59,101,202514,10715554
63,1770566344419.442,61.15,33,0,36,34,31.0,32.59,101,206252,10862373
64,1770566345423.638,62.15,34,1,37,35,31.0,32.54,101,212543,11009831
65,1770566346427.665,63.15,34,0,37,35,31.0,32.54,101,214079,11156416
66,1770566347423.589,64.15,34,0,37,35,31.0,32.54,101,214937,11301664
67,1770566348422.925,65.15,35,1,38,36,31.0,32.5,101,220062,11448645
68,1770566349423.321,66.15,35,0,38,36,31.0,32.5,101,224701,11597047
69,1770566350414.734,67.14,36,1,39,36,31.0,32.5,101,225581,11742731
70,1770566351419.263,68.15,36,0,39,37,31.0,32.49,101,226600,11893099
71,1770566352418.862,69.15,36,0,39,37,31.0,32.49,101,227415,12037909
72,1770566353424.137,70.15,37,1,40,38,31.0,32.42,101,228314,12190128
73,1770566354426.841,71.15,37,0,40,38,31.0,32.42,101,229172,12342847
74,1770566355428.309,72.16,37,0,40,38,31.0,32.42,78,230302,12495388
75,1770566356417.672,73.14,38,1,41,39,31.0,32.38,78,231782,12638308
76,1770566357426.791,74.15,38,0,41,39,31.0,32.38,82,238241,12790656
77,1770566358420.034,75.15,38,0,41,39,31.0,32.38,91,244408,12933431
78,1770566359425.883,76.15,39,1,42,40,33.0,32.4,91,250837,13085263
79,1770566360423.021,77.15,39,0,42,40,33.0,32.4,94,257188,13231728
80,1770566361416.154,78.14,40,1,43,41,34.0,32.44,94,262534,13378323
81,1770566362418.362,79.15,40,0,43,41,34.0,32.44,94,263444,13530286
82,1770566363415.758,80.14,40,0,43,41,34.0,32.44,94,264245,13677608
83,1770566365371.701,82.1,41,1,44,42,39.0,32.6,103,267396,13969770
84,1770566367370.573,84.1,42,1,45,43,39.0,32.72,103,269231,14272612
85,1770566369370.452,86.1,42,0,45,43,39.0,32.72,103,274200,14573512
86,1770566371371.442,88.1,43,1,46,44,38.0,32.84,93,287217,14866245
87,1770566373375.227,90.1,44,1,47,45,31.0,32.8,93,299597,15158056
88,1770566375370.048,92.1,45,1,48,46,34.0,32.85,93,312042,15451297
89,1770566377384.005,94.11,45,0,48,46,34.0,32.85,106,324024,15746767
90,1770566379383.072,96.11,46,1,49,47,27.0,32.72,106,325823,16044248
91,1770566381378.391,98.11,47,1,50,48,37.0,32.81,103,334834,16344033
92,1770566383371.404,100.1,48,1,51,49,34.0,32.84,103,345557,16635779
93,1770566385370.461,102.1,48,0,51,49,34.0,32.84,103,347298,16930083
94,1770566387369.565,104.1,49,1,52,50,31.0,32.8,102,349365,17228424
95,1770566389370.017,106.1,50,1,53,51,30.0,32.75,102,350870,17520692
96,1770566391369.553,108.1,51,1,54,51,30.0,32.75,80,352835,17818174
97,1770566393378.047,110.11,51,0,54,52,37.0,32.81,80,355391,18115564
98,1770566395378.133,112.11,52,1,55,53,24.0,32.64,80,357015,18414272
