snapshot,timestamp_ms,elapsed_s,consent_requests_sent,consent_increment,requests_sent,responses_received,current_rtt_ms,avg_rtt_ms,available_outgoing_kbps,bytes_sent,bytes_received
2,1770567291574.066,0.0,2,0,3,3,115.0,115.67,,860,9250
4,1770567293388.735,1.81,3,1,4,4,115.0,115.75,,1067,9486
5,1770567293388.813,1.81,2,-1,4,4,125.0,125.5,,1065,9486
6,1770567294385.376,2.81,4,2,5,5,115.0,115.6,,1128,9547
7,1770567294385.486,2.81,3,-1,5,5,125.0,125.4,,1126,9547
8,1770567295376.136,3.8,4,1,5,5,115.0,115.6,,1433,9852
9,1770567295376.207,3.8,3,-1,5,5,125.0,125.4,,1597,9718
10,1770567296381.437,4.81,4,1,5,5,115.0,115.6,,2308,33026
11,1770567296381.496,4.81,3,-1,5,5,125.0,125.4,,1597,9718
12,1770567297379.755,5.81,5,2,6,6,115.0,115.5,,5596,126136
13,1770567297379.899,5.81,4,-1,6,6,125.0,125.33,,1658,9779
14,1770567298375.374,6.8,5,1,6,6,115.0,115.5,,9333,242046
15,1770567298375.431,6.8,4,-1,6,6,125.0,125.33,,1658,9779
16,1770567299384.193,7.81,6,2,7,7,115.0,115.43,,13856,384149
17,1770567299384.257,7.81,5,-1,7,7,125.0,125.29,,1658,9779
18,1770567300380.86,8.81,6,1,7,7,115.0,115.43,,19091,557784
19,1770567300380.984,8.81,5,-1,7,7,125.0,125.29,,1719,9840
20,1770567301379.746,9.81,6,1,7,7,115.0,115.43,,25318,762992
21,1770567301379.822,9.81,5,-1,7,7,125.0,125.29,,1719,9840
22,1770567302372.873,10.8,7,2,8,8,115.0,115.38,,32678,1016116
23,1770567302372.936,10.8,6,-1,8,8,125.0,125.25,,1719,9840
24,1770567303369.878,11.8,7,1,8,8,115.0,115.38,,40804,1298769
25,1770567303369.944,11.8,6,-1,8,8,125.0,125.25,,1780,9901
26,1770567304379.682,12.81,7,1,8,8,115.0,115.38,,41166,1299074
27,1770567304379.765,12.81,6,-1,8,8,125.0,125.25,,1780,9901
28,1770567305374.304,13.8,8,2,9,9,115.0,115.33,,41471,1299379
29,1770567305374.373,13.8,7,-1,9,9,125.0,125.22,,1780,9901
30,1770567306371.867,14.8,8,1,9,9,115.0,115.33,,41776,1299753
31,1770567306371.954,14.8,7,-1,9,9,125.0,125.22,,1841,9962
32,1770567307382.652,15.81,9,2,10,10,115.0,115.3,,42138,1300058
33,1770567307382.725,15.81,8,-1,10,10,125.0,125.2,,1841,9962
34,1770567308375.879,16.8,9,1,10,10,115.0,115.3,,42443,1300363
35,1770567308375.945,16.8,8,-1,10,10,125.0,125.2,,1841,9962
36,1770567309382.34,17.81,9,1,10,10,115.0,115.3,,42748,1300737
37,1770567309382.405,17.81,8,-1,10,10,125.0,125.2,,1902,10023
38,1770567310374.12,18.8,10,2,11,11,115.0,115.27,,43110,1301042
39,1770567310374.184,18.8,9,-1,11,11,125.0,125.18,,1902,10023
40,1770567311075.955,19.5,10,1,11,11,115.0,115.27,,43354,1301286
41,1770567311076.016,19.5,9,-1,11,11,125.0,125.18,,1902,10023
42,1770567311456.196,19.88,10,1,11,11,115.0,115.27,,43415,1301347
43,1770567311456.26,19.88,9,-1,11,11,125.0,125.18,,1902,10023
44,1770567313374.642,21.8,11,2,12,12,115.0,115.25,,44082,1302026
45,1770567313374.712,21.8,10,-1,12,12,125.0,125.17,,1963,10084
46,1770567314383.012,22.81,11,1,12,12,115.0,115.25,,44387,1302331
47,1770567314383.078,22.81,10,-1,12,12,125.0,125.17,,1963,10084
48,1770567315376.198,23.8,12,2,13,13,115.0,115.23,,44692,1302636
49,1770567315376.263,23.8,11,-1,13,13,125.0,125.15,,2024,10145
50,1770567316369.926,24.8,12,1,13,13,115.0,115.23,,45054,1303010
51,1770567316369.994,24.8,11,-1,13,13,125.0,125.15,,2024,10145
52,1770567317378.18,25.8,12,1,13,13,115.0,115.23,,45359,1303315
53,1770567317378.24,25.8,11,-1,13,13,125.0,125.15,,2024,10145
54,1770567318374.055,26.8,13,2,14,14,115.0,115.29,,45664,1303620
55,1770567318374.226,26.8,12,-1,14,14,125.0,125.14,,2085,10206
56,1770567319380.227,27.81,13,1,14,14,115.0,115.29,,46026,1303994
57,1770567319380.295,27.81,12,-1,14,14,125.0,125.14,,2085,10206
58,1770567320384.215,28.81,13,1,14,14,115.0,115.29,,46331,1304299
59,1770567320384.287,28.81,12,-1,14,14,125.0,125.14,,2085,10206
60,1770567321374.468,29.8,14,2,15,15,115.0,115.27,,46636,1304604
61,1770567321374.536,29.8,13,-1,15,15,125.0,125.13,,2146,10267
62,1770567322380.52,30.81,14,1,15,15,115.0,115.27,,46998,1304978
63,1770567322380.6,30.81,13,-1,15,15,125.0,125.13,,2146,10267
64,1770567323378.502,31.8,15,2,16,16,115.0,115.25,,47303,1305283
65,1770567323378.57,31.8,14,-1,16,16,125.0,125.19,,2146,10267
66,1770567324372.056,32.8,15,1,16,16,115.0,115.25,,47608,1305588
67,1770567324372.127,32.8,14,-1,16,16,125.0,125.19,,2207,10328
68,1770567325382.094,33.81,15,1,16,16,115.0,115.25,,47970,1305962
69,1770567325382.162,33.81,14,-1,16,16,125.0,125.19,,2207,10328
70,1770567326375.913,34.8,16,2,17,17,115.0,115.24,,48275,1306267
71,1770567326375.976,34.8,15,-1,17,17,125.0,125.12,,2264,10385
72,1770567327370.375,35.8,16,1,17,17,115.0,115.24,,48580,1306572
73,1770567327370.438,35.8,15,-1,17,17,125.0,125.12,,2325,10446
74,1770567328382.28,36.81,16,1,17,17,115.0,115.24,,48942,1306946
75,1770567328382.353,36.81,15,-1,17,17,125.0,125.12,,2325,10446
76,1770567329383.491,37.81,17,2,18,18,115.0,115.22,,49247,1307251
77,1770567329383.575,37.81,16,-1,18,18,125.0,125.11,,2325,10446
78,1770567330376.954,38.8,17,1,18,18,115.0,115.22,,49491,1307495
79,1770567330377.036,38.8,16,-1,18,18,125.0,125.11,,2386,10507
80,1770567331370.11,39.8,18,2,19,19,115.0,115.21,,49853,1307869
81,1770567331370.185,39.8,17,-1,19,19,125.0,125.11,,2386,10507
82,1770567332375.953,40.8,18,1,19,19,115.0,115.21,,50158,1308174
83,1770567332376.031,40.8,17,-1,19,19,125.0,125.11,,2386,10507
84,1770567333382.943,41.81,18,1,19,19,115.0,115.21,,50463,1308479
85,1770567333383.02,41.81,17,-1,19,19,125.0,125.11,,2447,10568
86,1770567334372.253,42.8,19,2,20,20,115.0,115.25,,50882,1308910
87,1770567334372.334,42.8,18,-1,20,20,125.0,125.1,,2447,10568
88,1770567335369.999,43.8,19,1,20,20,115.0,115.25,,51187,1309215
89,1770567335370.078,43.8,18,-1,20,20,125.0,125.1,,2447,10568
90,1770567336383.908,44.81,19,1,20,20,115.0,115.25,,51492,1309520
91,1770567336383.976,44.81,18,-1,20,20,125.0,125.1,,2508,10629
92,1770567337378.652,45.8,20,2,21,21,115.0,115.24,,51854,1309894
93,1770567337378.723,45.8,19,-1,21,21,125.0,125.14,,2508,10629
94,1770567338376.907,46.8,20,1,21,21,115.0,115.24,,52159,1310199
95,1770567338376.981,46.8,19,-1,21,21,125.0,125.14,,2508,10629
96,1770567338454.969,46.88,20,1,21,21,115.0,115.24,,52159,1310199
97,1770567338455.029,46.88,19,-1,21,21,125.0,125.14,,2508,10629
98,1770567339463.796,47.89,21,2,22,22,115.0,115.23,,52464,1310504
99,1770567339463.876,47.89,20,-1,22,22,125.0,125.09,,2569,10690
100,1770567340460.495,48.89,21,1,22,22,115.0,115.23,,52826,1310878
101,1770567340460.581,48.89,20,-1,22,22,125.0,125.09,,2569,10690
102,1770567342376.115,50.8,22,2,23,23,115.0,115.22,,53436,1311488
103,1770567342376.186,50.8,21,-1,23,23,125.0,125.13,,2630,10751
104,1770567343370.687,51.8,22,1,23,23,115.0,115.22,,53798,1311862
105,1770567343370.768,51.8,21,-1,23,23,125.0,125.13,,2630,10751
106,1770567344382.413,52.81,22,1,23,23,115.0,115.22,,54103,1312167
107,1770567344382.495,52.81,21,-1,23,23,125.0,125.13,,2630,10751
108,1770567345378.271,53.8,23,2,24,24,115.0,115.21,,54408,1312472
109,1770567345378.339,53.8,22,-1,24,24,125.0,125.13,,2691,10812
110,1770567346377.157,54.8,23,1,24,24,115.0,115.21,,54770,1312846
